"ocrSubjNumR","ocrRepNo"
"1.1","NACA-TN-3760"
"1.1","NACA-TN-3805"
"1.1","NACA-TN-4002"
"1.1.1","NACA-TR-1279"
"1.1.1","NACA-TN-3448"
"1.1.1","NACA-TN-3449"
"1.1.1","NACA-TN-3738"
"1.1.1","NACA-TN-3770"
"1.1.1","NACA-TN-3902"
"1.1.2","NACA-RM-L52K14"
"1.1.2","10-PERCENT-THICKWING"
"1.1.2","NACA-RM-L53D20"
"1.1.2","10-PERCENT-THICKWING"
"1.1.2","NACA-RM-L53G14"
"1.1.2","NACA-RM-L53I15"
"1.1.2","NACA-RM-L55A18"
"1.1.2","NACA-TR-1259"
"1.1.2","NACA-TN-3226"
"1.1.2","NACA-TR-1265"
"1.1.2","NACA-RM-L53G28"
"1.1.2","NACA-TR-1293"
"1.1.2","NACA-TN-3325"
"1.1.2","NACA-TR-1294"
"1.1.2","NACA-TN-3326"
"1.1.2","NACA-TN-3695"
"1.1.2","NACA-TN-3738"
"1.1.2","NACA-RM-L56F18a"
"1.1.2","NACA-TN-3680"
"1.1.2","NACA-TN-3766"
"1.1.2","NACA-TN-3831"
"1.1.2","NACA-TN-3886"
"1.1.2","NACA-TN-3888"
"1.1.2","NACA-TN-3902"
"1.1.2","NACA-TN-3877"
"1.1.2","NACA-TN-3869"
"1.1.2","NACA-TN-3969"
"1.1.2","NACA-TN-4002"
"1.1.2","NACA-TN-4021"
"1.1.2","NACA-TN-3943"
"1.1.2","NACA-TN-3944"
"1.1.2.1","NACA-RM-L52H08a"
"1.1.2.1","NACA-RM-L52L01a"
"1.1.2.1","NACA-RM-L53F19"
"1.1.2.1","NACA-RM-L53H17a"
"1.1.2.1","NACA-RM-L54G21"
"1.1.2.1","NACA-TR-1245"
"1.1.2.1","NACA-RM-L54K18"
"1.1.2.1","NACA-TR-1274"
"1.1.2.1","NACA-TN-3390"
"1.1.2.1","NACA-TN-3343"
"1.1.2.1","NACA-TR-1292"
"1.1.2.1","NACA-TN-3561"
"1.1.2.1","NACA-TN-3576"
"1.1.2.1","NACA-TN-3815"
"1.1.2.1","NACA-RM-L54A29a"
"1.1.2.1","NACA-TN-3868"
"1.1.2.1","NACA-TN-3875"
"1.1.2.1","NACA-TN-3922"
"1.1.2.1","NACA-TN-3700"
"1.1.2.1","NACA-TN-3949"
"1.1.2.1","NACA-TN-3950"
"1.1.2.2","NACA-RM-L51E25"
"1.1.2.2","NACA-RM-L52H08a"
"1.1.2.2","NACA-RM-L52J07"
"1.1.2.2","NACA-RM-L52L01"
"1.1.2.2","NACA-RM-L53G06a"
"1.1.2.2","NACA-RM-A53K24"
"1.1.2.2","NACA-RM-L53L28a"
"1.1.2.2","NACA-TR-1242"
"1.1.2.2","NACA-TN-3213"
"1.1.2.2","NACA-RM-A55C02"
"1.1.2.2","NACA-TN-3717"
"1.1.2.2","NACA-TN-3723"
"1.1.2.2","NACA-TN-3804"
"1.1.2.2","NACA-TN-3815"
"1.1.2.2","NACA-RM-L54A29a"
"1.1.2.2","NACA-TN-3868"
"1.1.2.2","NACA-TN-3872"
"1.1.2.2","NACA-TN-3902"
"1.1.2.2","NACA-TN-3970"
"1.1.2.3","NACA-RM-A8J04"
"1.1.2.3","NACA-RM-L9E27a"
"1.1.2.3","NACA-RM-L9E20a"
"1.1.2.3","NACA-RM-L50G12"
"1.1.2.3","NACA-RM-E50J09"
"1.1.2.3","NACA-RM-L51D30"
"1.1.2.3","NACA-RM-E51H13"
"1.1.2.3","NACA-RM-E51H17"
"1.1.2.3","NACA-RM-E51J08"
"1.1.2.3","NACA-RM-L52E05a"
"1.1.2.3","NACA-RM-L52H08a"
"1.1.2.3","NACA-RM-L52J07"
"1.1.2.3","NACA-RM-E53A02"
"1.1.2.3","NACA-RM-L52L31"
"1.1.2.3","NACA-RM-L53D03"
"1.1.2.3","NACA-RM-L53D27"
"1.1.2.3","NACA-RM-L54C08"
"1.1.2.3","NACA-RM-L54F22"
"1.1.2.3","NACA-RM-L54K1D"
"1.1.2.3","NACA-RM-E55A28"
"1.1.2.3","NACA-RM-L55E12"
"1.1.2.3","NACA-RM-L55D29"
"1.1.2.3","NACA-TR-1255"
"1.1.2.3","NACA-TN-3389"
"1.1.2.3","NACA-TR-1268"
"1.1.2.3","NACA-TN-3373"
"1.1.2.3","NACA-TN-3240"
"1.1.2.3","NACA-TR-1271"
"1.1.2.3","NACA-TN-3478"
"1.1.2.3","NACA-TR-1275"
"1.1.2.3","NACA-TN-3533"
"1.1.2.3","NACA-TR-1280"
"1.1.2.3","NACA-TN-3465"
"1.1.2.3","NACA-TR-1284"
"1.1.2.3","NACA-RM-A53Hl8a"
"1.1.2.3","NACA-TN-3734"
"1.1.2.3","NACA-TM-1383"
"1.1.2.3","NACA-TN-3709"
"1.1.2.3","NACA-RM-L9K09"
"1.1.2.3","NACA-TN-3744"
"1.1.2.3","NACA-TN-3807"
"1.1.2.3","NACA-TN-3815"
"1.1.2.3","NACA-RM-L54A29a"
"1.1.2.3","NACA-TN-3868"
"1.1.2.3","NACA-TN-3860"
"1.1.2.3","NACA-TN-3819"
"1.1.2.3","NACA-TN-3861"
"1.1.2.3","NACA-RM-L54A14"
"1.1.2.3","NACA-TN-3875"
"1.1.2.3","NACA-TN-3895"
"1.1.2.3","NACA-TN-3942"
"1.1.2.3","NACA-TN-3873"
"1.1.2.3","NACA-TN-3938"
"1.1.2.3","NACA-TN-3846"
"1.1.2.3","NACA-TN-3948"
"1.1.2.3","NACA-RM-L52F10"
"1.1.2.3","NACA-TN-3979"
"1.1.3","NACA-RM-L51D30"
"1.1.3","NACA-RM-E51J08"
"1.1.3","NACA-RM-A51K05"
"1.1.3","NACA-RM-L52L31"
"1.1.3","NACA-RM-L53H04"
"1.1.3","NACA-TN-3768"
"1.1.3","NACA-TN-3832"
"1.1.3","NACA-TN-3833"
"1.1.3","NACA-TN-3840"
"1.1.3","NACA-TN-3890"
"1.1.3","NACA-TN-3869"
"1.1.3","NACA-TN-3948"
"1.1.3","NACA-RM-L52F10"
"1.1.3","NACA-TN-3965"
"1.1.3","NACA-TN-3944"
"1.1.3.1","NACA-RM-E51H13"
"1.1.3.1","NACA-RM-E51H17"
