"ocrSubjNumR","ocrRepNo"
"1.1.3","NACA-TN-1946"
"1.1.3","NACA-TN-2044"
"1.1.3","NACA-TM-1270"
"1.1.3","NACA-TM-1288"
"1.1.3","NACA-TN-2251"
"1.1.3","NACA-TN-2310"
"1.1.3","NACA-TN-2334"
"1.1.3","NACA-TN-2371"
"1.1.3.1","NACA-TR-876"
"1.1.3.1","NACA-TR-890"
"1.1.3.1","NACA-RM-A7A31a"
"1.1.3.1","NACA-RM-A8L28"
"1.1.3.1","NACA-TN-1942"
"1.1.3.1","NACA-TM-1228"
"1.1.3.1","NACA-TN-1961"
"1.1.3.1","NACA-TN-1975"
"1.1.3.1","NACA-TR-958"
"1.1.3.1","NACA-TR-979"
"1.1.3.1","NACA-TR-990"
"1.1.3.1","NACA-TM-1232"
"1.1.3.1","NACA-TM-1256"
"1.1.3.1","NACA-TM-1265"
"1.1.3.1","NACA-TN-2087"
"1.1.3.1","NACA-TN-2112"
"1.1.3.1","NACA-TM-1275"
"1.1.3.1","NACA-TM-1259"
"1.1.3.1","NACA-TM-1278"
"1.1.3.1","NACA-TN-2077"
"1.1.3.1","NACA-TN-2110"
"1.1.3.1","NACA-TN-2131"
"1.1.3.1","NACA-TM-1262"
"1.1.3.1","NACA-TN-2235"
"1.1.3.1","NACA-TN-2263"
"1.1.3.1","NACA-TN-2279"
"1.1.3.1","NACA-TN-2334"
"1.1.3.1","NACA-TN-2338"
"1.1.3.1","NACA-TN-2351"
"1.1.3.1","NACA-TM-1276"
"1.1.3.1","NACA-TM-1281"
"1.1.3.1","NACA-TM-1286"
"1.1.3.2","NACA-RM-A7A31a"
"1.1.3.2","NACA-RM-L8C22"
"1.1.3.2","NACA-RM-A8L28"
"1.1.3.2","NACA-TM-1231"
"1.1.3.2","NACA-TN-1975"
"1.1.3.2","NACA-TR-963"
"1.1.3.2","NACA-TN-2001"
"1.1.3.2","NACA-TN-2045"
"1.1.3.2","NACA-TM-1265"
"1.1.3.2","NACA-TM-1284"
"1.1.3.2","NACA-TM-1285"
"1.1.3.2","NACA-TN-2077"
"1.1.3.2","NACA-TN-2123"
"1.1.3.2","NACA-TN-2138"
"1.1.3.2","NACA-TN-2133"
"1.1.3.2","NACA-TN-2158"
"1.1.3.2","NACA-TN-2203"
"1.1.3.2","NACA-TM-1262"
"1.1.3.2","NACA-TM-1292"
"1.1.3.2","NACA-TN-2235"
"1.1.3.2","NACA-TN-2242"
"1.1.3.2","NACA-TM-1299"
"1.1.3.2","NACA-TN-2263"
"1.1.3.2","NACA-TN-2296"
"1.1.3.2","NACA-TN-2305"
"1.1.3.2","NACA-TM-1286"
"1.1.3.2","NACA-TN-2334"
"1.1.3.2","NACA-TN-2337"
"1.1.3.2","NACA-TN-2338"
"1.1.3.2","NACA-TN-2345"
"1.1.3.2","NACA-TN-2351"
"1.1.3.2","NACA-TN-2361"
"1.1.3.3","NACA-TN-1947"
"1.1.3.3","NACA-TM-1231"
"1.1.3.3","NACA-TR-963"
"1.1.3.3","NACA-TR-979"
"1.1.3.3","NACA-TR-998"
"1.1.3.3","NACA-TN-2019"
"1.1.3.3","NACA-TN-2124"
"1.1.3.3","NACA-RM-E50F21"
"1.1.3.3","NACA-TM-1288"
"1.1.3.3","NACA-TN-2334"
"1.1.3.3","NACA-TN-2338"
"1.1.3.3","NACA-TM-1281"
"1.1.3.3","NACA-TN-2361"
"1.1.4","NACA-TN-1975"
"1.1.4","NACA-TN-2087"
"1.1.4","NACA-TN-2077"
"1.1.4","NACA-TN-2131"
"1.1.4","NACA-TN-2148"
"1.1.4","NACA-TN-2196"
"1.1.4","NACA-TN-2244"
"1.1.4","NACA-TN-2345"
"1.1.4","NACA-TN-2351"
"1.1.4.1","NACA-TR-917"
"1.1.4.1","NACA-RM-A8L28"
"1.1.4.1","NACA-TN-1975"
"1.1.4.1","NACA-TR-990"
"1.1.4.1","NACA-TN-2087"
"1.1.4.1","NACA-TM-1275"
"1.1.4.1","NACA-TN-2077"
"1.1.4.1","NACA-TN-2110"
"1.1.4.1","NACA-TN-2212"
"1.1.4.1","NACA-TN-2296"
"1.1.4.2","NACA-TR-917"
"1.1.4.2","NACA-TR-944"
"1.1.4.2","NACA-RM-A8L28"
"1.1.4.2","NACA-TN-1975"
"1.1.4.2","NACA-TR-990"
"1.1.4.2","NACA-TN-2087"
"1.1.4.2","NACA-TN-2077"
"1.1.4.2","NACA-TN-2124"
"1.1.4.2","NACA-TN-2126"
"1.1.4.2","NACA-TM-1275"
"1.1.4.2","NACA-TM-1284"
"1.1.4.2","NACA-TN-2148"
"1.1.4.2","NACA-TN-2237"
"1.1.4.2","NACA-TN-2242"
"1.1.4.2","NACA-TM-1288"
"1.1.4.2","NACA-RM-E50H23"
"1.1.4.2","NACA-TN-2321"
"1.1.4.2","NACA-TN-2345"
"1.1.4.2","NACA-TM-1286"
"1.1.4.3","NACA-TR-890"
"1.1.4.3","NACA-RM-A8L28"
"1.1.4.3","NACA-TN-1947"
"1.1.4.3","NACA-TN-2019"
"1.1.4.3","NACA-TN-2087"
"1.1.4.3","NACA-TM-1275"
"1.1.4.3","NACA-RM-E50E23"
"1.1.4.3","NACA-TN-2186"
"1.1.4.3","NACA-RM-E50G31"
"1.1.4.3","NACA-TN-2206"
"1.1.4.3","NACA-RM-E50H23"
"1.1.4.3","NACA-TN-2328"
"1.1.4.3","NACA-TN-2357"
"1.1.5","NACA-TM-1270"
"1.1.5","NACA-TN-2210"
"1.1.5","NACA-TN-2244"
"1.1.5","NACA-TN-2293"
"1.1.5.2","NACA-TR-944"
"1.1.5.2","NACA-TM-1270"
"1.1.5.2","NACA-TN-2244"
"1.2","NACA-TM-1245"
"1.2.1","NACA-TN-2018"
"1.2.1","NACA-TN-2100"
"1.2.1","NACA-TN-2130"
"1.2.1","NACA-TN-2172"
"1.2.1.1","NACA-RM-A7C10"
"1.2.1.1","NACA-TR-903"
"1.2.1.1","NACA-RM-L8G27"
"1.2.1.1","NACA-TR-945"
"1.2.1.1","NACA-TR-947"
"1.2.1.1","NACA-TR-978"
"1.2.1.1","NACA-TN-2058"
"1.2.1.1","NACA-TN-2057"
"1.2.1.1","NACA-TN-2058"
"1.2.1.1","NACA-TN-2121"
