
Dr. George W. Lewis
Dr. Ludwig Prandtl
Dr. Hans Multhopp
Dr. Adolph Busemann
Dr. Woldemar Voigt
Theodore von Karman
Max Munk
Dr. R.T. Jones
Dr. Richard Vogt
Robert T. Jones
John Stack
Ernst Eckert
Richard T. Whitcomb
H. Julian Allen
Fred Weick
Joseph F. Ames
