"ocrSubjNumR","ocrRepNo"
"1.1","NACA-TR-20"
"1.1","NACA-TM-55"
"1.1","NACA-TN-104"
"1.1","NACA-TN-105"
"1.1","NACA-TN-106"
"1.1","NACA-TM-111"
"1.1","NACA-TM-147"
"1.1","NACA-TN-126"
"1.1","NACA-TN-134"
"1.1","NACA-TM-198"
"1.1","NACA-TM-220"
"1.1","NACA-TM-222"
"1.1","NACA-TM-227"
"1.1","NACA-TR-185"
"1.1","NACA-TN-184"
"1.1","NACA-TN-196"
"1.1","NACA-TN-216"
"1.1","NACA-TM-310"
"1.1","NACA-TM-324"
"1.1","NACA-TM-334"
"1.1","NACA-TM-336"
"1.1","NACA-TR-253"
"1.1","NACA-TM-452"
"1.1","NACA-TM-534"
"1.1","NACA-TM-555"
"1.1","NACA-TM-567"
"1.1","NACA-TM-575"
"1.1","NACA-TM-576"
"1.1","NACA-TM-585"
"1.1","NACA-TM-609"
"1.1","NACA-TM-611"
"1.1","NACA-TM-625"
"1.1","NACA-TM-626"
"1.1","NACA-TM-674"
"1.1","NACA-TM-675"
"1.1","NACA-TM-679"
"1.1","NACA-TM-688"
"1.1","NACA-TM-699"
"1.1","NACA-TM-715"
"1.1","NACA-TM-720"
"1.1","NACA-TM-768"
"1.1","NACA-TM-777"
"1.1","NACA-TM-791"
"1.1","NACA-TM-792"
"1.1","NACA-TM-796"
"1.1","NACA-TM-799"
"1.1","NACA-TM-822"
"1.1","NACA-TR-629"
"1.1","NACA-TN-671"
"1.1","NACA-TM-886"
"1.1","NACA-TN-705"
"1.1","NACA-TM-935"
"1.1","NACA-TM-951"
"1.1","NACA-TM-959"
"1.1","NACA-TM-974"
"1.1","NACA-TM-986"
"1.1","NACA-TM-996"
"1.1","NACA-TM-1003"
"1.1","NACA-TM-1008"
"1.1","NACA-TM-1017"
"1.1","NACA-TM-1047"
"1.1","NACA-TM-1053"
"1.1","NACA-WR-L-639"
"1.1","NACA-ARR-L4D27a"
"1.1","NACA-WR-L-136"
"1.1","NACA-TM-1070"
"1.1","NACA-ARR-L4G05"
"1.1","NACA-WR-L-135"
"1.1","NACA-ARR-L4E31"
"1.1","NACA-WR-L-l"
"1.1","NACA-ARR-L4K22a"
"1.1","NACA-WR-L-113"
"1.1","NACA-ARR-L4K22b"
"1.1","NACA-WR-L-81"
"1.1","NACA-ARR-L5D23"
"1.1","NACA-WR-L-120"
"1.1","NACA-ARR-L5H18"
"1.1","NACA-WR-L-153"
"1.1","NACA-TM-1085"
"1.1","NACA-TM-1079"
"1.1","NACA-TN-1484"
"1.1","NACA-TN-1494"
"1.1","NACA-TN-1515"
"1.1","NACA-RM-L8J14"
"1.1","NACA-TN-1849"
"1.1","NACA-TN-1767"
"1.1","NACA-TN-1861"
"1.1.1","NACA-TR-12"
"1.1.1","NACA-TR-80"
"1.1.1","NACA-TN-10"
"1.1.1","NACA-TR-114"
"1.1.1","NACA-TM-41"
"1.1.1","NACA-TN-68"
"1.1.1","NACA-TR-139"
"1.1.1","NACA-TR-142"
"1.1.1","NACA-TR-144"
"1.1.1","NACA-TR-151"
"1.1.1","NACA-TR-164"
"1.1.1","NACA-TN-129"
"1.1.1","NACA-TN-197"
"1.1.1","NACA-TN-207"
"1.1.1","NACA-TR-210"
"1.1.1","NACA-TN-228"
"1.1.1","NACA-TM-364"
"1.1.1","NACA-TM-413"
"1.1.1","NACA-TM-422"
"1.1.1","NACA-TR-349"
"1.1.1","NACA-TR-316"
"1.1.1","NACA-TM-574"
"1.1.1","NACA-TM-576"
"1.1.1","NACA-TR-383"
"1.1.1","NACA-TR-411"
"1.1.1","NACA-TR-413"
"1.1.1","NACA-TR-452"
"1.1.1","NACA-TR-465"
"1.1.1","NACA-TR-497"
"1.1.1","NACA-TM-767"
"1.1.1","NACA-TM-828"
"1.1.1","NACA-TM-886"
"1.1.1","NACA-TN-750"
"1.1.1","NACA-TM-962"
"1.1.1","NACA-TM-961"
"1.1.1","NACA-TR-722"
"1.1.1","NACA-TM-968"
"1.1.1","NACA-TN-820"
"1.1.1","NACA-TN-835"
"1.1.1","NACA-TR-752"
"1.1.1","NACA-TM-1023"
"1.1.1","NACA-TR-788"
"1.1.1","NACA-ARR-4F21"
"1.1.1","NACA-WR-A-14"
"1.1.1","NACA-TN-969"
"1.1.1","NACA-ARR-L6A05b"
"1.1.1","NACA-WR-L-154"
"1.1.1","NACA-TN-1194"
"1.1.1","NACA-TN-1231"
"1.1.1","NACA-TN-1252"
"1.1.1","NACA-TN-1372"
"1.1.1","NACA-TN-1623"
"1.1.1","NACA-TN-1899"
"1.1.2","NACA-TR-287"
"1.1.2","NACA-TM-455"
"1.1.2","NACA-TN-519"
"1.1.2","NACA-TN-544"
"1.1.2","NACA-TM-781"
"1.1.2","NACA-TR-619"
"1.1.2","NACA-TM-935"
"1.1.2","NACA-TN-762"
"1.1.2","NACA-TM-962"
"1.1.2","NACA-TM-1032"
"1.1.2","NACA-TR-768"
"1.1.2","NACA-TR-772"
"1.1.2","NACA-ACR-3D15"
"1.1.2","NACA-WR-L-417"
"1.1.2","NACA-ARR-3G27"
"1.1.2","NACA-WR-L-460"
"1.1.2","NACA-ACR-3129"
"1.1.2","NACA-TR-789"
"1.1.2","NACA-TR-790"
"1.1.2","NACA-TR-793"
"1.1.2","NACA-TM-1059"
"1.1.2","NACA-ARR-4A22"
"1.1.2","NACA-WR-L-457"
"1.1.2","NACA-ARR-L4E29"
"1.1.2","NACA-WR-L-21"
"1.1.2","NACA-ARR-L4L19"
"1.1.2","NACA-WR-L-13"
"1.1.2","NACA-ACR-E5A29"
"1.1.2","NACA-WR-E-88"
"1.1.2","NACA-ARR-L5G31"
"1.1.2","NACA-WR-L-123"
"1.1.2","NACA-CB-L5F28"
"1.1.2","NACA-WR-L-23"
"1.1.2","NACA-ACR-L6A22"
"1.1.2","NACA-WR-L-119"
"1.1.2","NACA-ACR-L6C13"
"1.1.2","NACA-WR-L-213"
"1.1.2","NACA-TN-1024"
"1.1.2","NACA-TN-1073"
"1.1.2","NACA-RM-L7B03a"
"1.1.2","NACA-TN-1171"
"1.1.2","NACA-TN-1196"
"1.1.2","NACA-TM-1154"
"1.1.2","NACA-TM-1158"
"1.1.2","NACA-TN-1336"
"1.1.2","NACA-TN-1360"
"1.1.2","NACA-TM-1156"
"1.1.2","NACA-TM-1163"
"1.1.2","NACA-RM-A7E29"
"1.1.2","NACA-TN-1484"
"1.1.2","NACA-TN-1419"
"1.1.2","NACA-TN-1445"
"1.1.2","NACA-TN-1623"
"1.1.2","NACA-TN-1662"
"1.1.2","NACA-RM-E8G23"
"1.1.2","NACA-TN-1716"
"1.1.2","NACA-TN-1805"
"1.1.2","NACA-TN-1800"
"1.1.2","NACA-TM-1203"
"1.1.2","NACA-TM-1211"
"1.1.2","NACA-TN-1824"
"1.1.2","NACA-TN-1767"
"1.1.2","NACA-TN-1903"
"1.1.2","NACA-TN-1900"
"1.1.2","NACA-TN-1931"
"1.1.2.1","NACA-TN-49"
"1.1.2.1","NACA-TR-207"
"1.1.2.1","NACA-TR-247.1926."
"1.1.2.1","NACA-TR-255"
"1.1.2.1","NACA-TR-316"
"1.1.2.1","NACA-TM-574"
"1.1.2.1","NACA-TN-543"
"1.1.2.1","NACA-TM-805"
"1.1.2.1","NACA-TR-621"
"1.1.2.1","NACA-TR-624"
"1.1.2.1","NACA-TR-646"
"1.1.2.1","NACA-TM-844"
"1.1.2.1","NACA-TR-671"
"1.1.2.1","NACA-TR-673"
"1.1.2.1","NACA-TM-901"
"1.1.2.1","NACA-TM-917"
"1.1.2.1","NACA-WR-L-682"
"1.1.2.1","NACA-TM-934"
"1.1.2.1","NACA-TM-952"
"1.1.2.1","NACA-TN-817"
"1.1.2.1","NACA-TM-1018"
"1.1.2.1","NACA-WR-L-396"
"1.1.2.1","NACA-TM-1030"
"1.1.2.1","NACA-TR-728"
"1.1.2.1","NACA-WR-W-4"
"1.1.2.1","NACA-ARR-3G13"
"1.1.2.1","NACA-WR-L-44"
"1.1.2.1","NACA-TR-780"
"1.1.2.1","NACA-TR-782"
"1.1.2.1","NACA-TR-794"
"1.1.2.1","NACA-ARR-L4C16"
"1.1.2.1","NACA-WR-L-179"
"1.1.2.1","NACA-TN-932"
"1.1.2.1","NACA-TN-946"
"1.1.2.1","NACA-ACR-L4L07a"
"1.1.2.1","NACA-WR-L-74"
"1.1.2.1","NACA-TN-969"
"1.1.2.1","NACA-CB-L5C09"
"1.1.2.1","NACA-WR-L-19"
"1.1.2.1","NACA-ARR-5C21"
"1.1.2.1","NACA-WR-W-1"
"1.1.2.1","NACA-TN-970"
"1.1.2.1","NACA-TN-973"
"1.1.2.1","NACA-TN-972"
"1.1.2.1","NACA-TR-834"
"1.1.2.1","NACA-TR-835"
"1.1.2.1","NACA-TR-849"
"1.1.2.1","NACA-TN-1006"
"1.1.2.1","NACA-TN-1012"
"1.1.2.1","NACA-TN-1018"
"1.1.2.1","NACA-TN-1127"
"1.1.2.1","NACA-TM-1105"
"1.1.2.1","NACA-TN-1096"
"1.1.2.1","NACA-TM-1111"
"1.1.2.1","NACA-TM-1115"
"1.1.2.1","NACA-TN-1170"
"1.1.2.1","NACA-TN-1218"
"1.1.2.1","NACA-TN-1168"
"1.1.2.1","NACA-TN-1227"
"1.1.2.1","NACA-TN-1311"
"1.1.2.1","NACA-TN-1326"
"1.1.2.1","NACA-TN-1328"
"1.1.2.1","NACA-TN-1340"
"1.1.2.1","NACA-TM-1153"
"1.1.2.1","NACA-TN-1527"
"1.1.2.1","NACA-TM-1189"
"1.1.2.1","NACA-TM-1186"
"1.1.2.1","NACA-TN-1623"
"1.1.2.1","NACA-TN-1657"
"1.1.2.1","NACA-TN-1592"
"1.1.2.1","NACA-TN-1739"
"1.1.2.1","NACA-TN-1746"
"1.1.2.1","NACA-TN-1792"
"1.1.2.1","NACA-TN-1813"
"1.1.2.1","NACA-TN-1815"
"1.1.2.1","NACA-TM-1203"
"1.1.2.1","NACA-TM-1215"
"1.1.2.1","NACA-TN-1810"
"1.1.2.1","NACA-TN-1878"
"1.1.2.1","NACA-TN-1873"
"1.1.2.1","NACA-TM-1233"
"1.1.2.1","NACA-TN-1913"
"1.1.2.1","NACA-TM-1253"
"1.1.2.2","NACA-TN-49"
"1.1.2.2","NACA-TR-255"
"1.1.2.2","NACA-TM-805"
"1.1.2.2","NACA-TM-844"
"1.1.2.2","NACA-TM-901"
"1.1.2.2","NACA-TM-934"
"1.1.2.2","NACA-TN-932"
"1.1.2.2","NACA-ACR-L4I27"
"1.1.2.2","NACA-WR-L-269"
"1.1.2.2","NACA-TN-961"
"1.1.2.2","NACA-CB-L5E22"
"1.1.2.2","NACA-WR-L-91"
"1.1.2.2","NACA-TN-972"
"1.1.2.2","NACA-TR-835"
"1.1.2.2","NACA-TN-1028"
"1.1.2.2","NACA-TN-1029"
"1.1.2.2","NACA-TN-995"
"1.1.2.2","NACA-TN-1003"
"1.1.2.2","NACA-TN-1073.May1946."
"1.1.2.2","NACA-TN-1096"
"1.1.2.2","NACA-TM-1113"
"1.1.2.2","NACA-TN-1185"
"1.1.2.2","NACA-TN-1225"
"1.1.2.2","NACA-TM-1114"
