"ocrSubjNumR","ocrRepNo"
"1","NACA-RM-E53B09"
"1","NACA-TN-42G5"
"1.1","NACA-RM-E54I13"
"1.1","NACA-RM-E55F07"
"1.1","NACA-TM-1417.Translationfrom"
"1.1","NACA-TN-4204"
"1.1","NACA-TN-4150"
"1.1","NACA-TN-4276"
"1.1","NACA-TN-4319"
"1.1.1","NACA-TR-1311."
"1.1.1","NACA-TN-3670"
"1.1.1","NACA-TR-1319."
"1.1.1","NACA-TN-3690 NACA-TN-3691"
"1.1.1","NACA-TR-1327 NACA-TN-3738"
"1.1.1","NACA-RM-E56I04"
"1.1.1","NACA-TN-4018"
"1.1.1","NACA-TN-4176"
"1.1.1","NACA-TN-4221"
"1.1.1","NACA-TN-4231"
"1.1.1","NACA-TN-4140"
"1.1.1","NACA-TN-4241"
"1.1.1","NACA-TN-4242"
"1.1.1","NACA-TM-1435.Translation"
"1.1.1","NACA-TM-1414.TranslationfromJahrbuch1942"
"1.1.1","NACA-TN-4282"
"1.1.1","NACA-TN-4370"
"1.1.1","NACA-TN-4384"
"1.1.2","NACA-RM-E53A12"
"1.1.2","NACA-RM-E53B09"
"1.1.2","NACA-RM-L53G10a"
"1.1.2","NACA-RM-E53J13"
"1.1.2","NACA-RM-E53L23a"
"1.1.2","NACA-RM-E54A18"
"1.1.2","NACA-RM-E54F02"
"1.1.2","NACA-RM-E54120"
"1.1.2","NACA-RM-H55A10"
"1.1.2","NACA-RM-E55I29a"
"1.1.2","NACA-RM-L55J13a"
"1.1.2","NACA-RM-E56C16"
"1.1.2","NACA-TR-1325 NACA-TN-3886"
"1.1.2","NACA-TR-1327 NACA-TN-3738"
"1.1.2","NACA-RM-E56I04"
"1.1.2","NACA-RM-E56L07"
"1.1.2","NACA-TM-1409.TranslationfromAcustica.v.5."
"1.1.2","NACA-TN-J4061"
"1.1.2","NACA-TN-4037"
"1.1.2","NACA-TN-4090"
"1.1.2","NACA-TN-4096"
"1.1.2","NACA-TN-4125"
"1.1.2","NACA-TN-4154"
"1.1.2","NACA-TN-3924"
"1.1.2","NACA-TN-4243"
"1.1.2","NACA-TN-4312"
"1.1.2","NACA-TN-4320"
"1.1.2","NACA-TM-1439"
"1.1.2","NACA-TN-4345"
"1.1.2","NACA-TN-4352"
"1.1.2","NACA-TN-4376"
"1.1.2","NACA-TN-4378"
"1.1.2.1","NACA-RM-L51K14"
"1.1.2.1","NACA-RM-E53L15"
"1.1.2.1","NACA-RM-E54B09"
"1.1.2.1","NACA-RM-E54B16"
"1.1.2.1","sedes-TN-3489"
"1.1.2.1","NACA-RM-E56E16"
"1.1.2.1","NACA-TR-1315."
"1.1.2.1","NACA-TN-3815"
"1.1.2.1","NACA-RM-E56I04"
"1.1.2.1","NACA-RM-L57F25"
"1.1.2.1","NACA-TN-3995"
"1.1.2.1","NACA-TN-4091"
"1.1.2.1","NACA-TN-4017"
"1.1.2.1","NACA-TN-4029"
"1.1.2.1","NACA-TN-3924"
"1.1.2.1","NACA-TN-4241"
"1.1.2.1","NACA-RM-58B11"
"1.1.2.1","NACA-TN-4080"
"1.1.2.1","NACA-TN-4302"
"1.1.2.1","NACA-TN-4333"
"1.1.2.1","NACA-TN-4376"
"1.1.2.2","NACA-RM-L51I07"
"1.1.2.2","NACA-RM-L51K14"
"1.1.2.2","NACA-RM-L52E01"
"1.1.2.2","NACA-RM-L52H22"
"1.1.2.2","NACA-RM-L53D14a"
"1.1.2.2","NACA-RM-E53L23a"
"1.1.2.2","NACA-RM-H54H06"
"1.1.2.2","NACA-RM-L54I30"
"1.1.2.2","NACA-RM-L54L31"
"1.1.2.2","NACA-RM-A55J11"
"1.1.2.2","NACA-RM-A55K10"
"1.1.2.2","NACA-RM-L56E14"
"1.1.2.2","NACA-TR-1315."
"1.1.2.2","NACA-TN-3815"
"1.1.2.2","NACA-TR-1318."
"1.1.2.2","NACA-TN-3717"
"1.1.2.2","NACA-RM-E56I04"
"1.1.2.2","NACA-TN-4170"
"1.1.2.2","NACA-TN-4204"
"1.1.2.2","NACA-TM-1418"
"1.1.2.2","NACA-TN-4233"
"1.1.2.2","NACA-TN-4360"
"1.1.2.2","NACA-TM-1410.TranslationofOfficeNationald'Etudeset"
"1.1.2.3","NACA-RM-L7J15"
"1.1.2.3","NACA-RM-E9B03"
"1.1.2.3","NACA-RM-L50C24"
"1.1.2.3","NACA-RM-L51C06"
"1.1.2.3","NACA-RM-E51A02"
"1.1.2.3","NACA-RM-E51C22"
"1.1.2.3","NACA-RM-E51G19"
"1.1.2.3","NACA-RM-E51H08"
"1.1.2.3","NACA-RM-L5JL17"
"1.1.2.3","NACA-RM-L52A02"
"1.1.2.3","NACA-RM-E52C10"
"1.1.2.3","NACA-RM-L51K14"
"1.1.2.3","NACA-RM-L52E01"
"1.1.2.3","NACA-RM-A52E22"
"1.1.2.3","NACA-RM-L52E26"
"1.1.2.3","NACA-RM-L52G14a"
"1.1.2.3","NACA-RM-E52I04"
"1.1.2.3","NACA-RM-E52K03"
"1.1.2.3","NACA-RM-L52L02a"
"1.1.2.3","NACA-RM-L53D15*"
"1.1.2.3","NACA-RM-E53D13"
"1.1.2.3","NACA-RM-E53F23"
"1.1.2.3","NACA-RM-E53F18"
"1.1.2.3","NACA-RM-L53G17"
"1.1.2.3","NACA-RM-L53H25"
"1.1.2.3","NACA-RM-L53l23a"
"1.1.2.3","NACA-RM-E53H27"
"1.1.2.3","NACA-RM-L53I21"
"1.1.2.3","NACA-RM-L53I29a"
"1.1.2.3","NACA-RM-L53J28"
"1.1.2.3","NACA-RM-E53L24"
"1.1.2.3","NACA-RM-L53L17"
"1.1.2.3","NACA-RM-E53Lllb"
"1.1.2.3","NACA-RM-L54B10"
"1.1.2.3","NACA-RM-A54B15"
"1.1.2.3","NACA-RM-E54B16"
"1.1.2.3","NACA-RM-E54C24"
"1.1.2.3","NACA-RM-E54D22"
"1.1.2.3","NACA-RM-L54E25"
"1.1.2.3","NACA-RM-L54F21"
"1.1.2.3","NACA-RM-E54G27a"
"1.1.2.3","NACA-RM-L54G28"
"1.1.2.3","NACA-RM-L54I16"
"1.1.2.3","NACA-RM-E55A27"
"1.1.2.3","NACA-RM-L54L31"
"1.1.2.3","NACA-RM-L55B25"
"1.1.2.3","NACA-RM-L55E17"
"1.1.2.3","NACA-RM-E55F30"
"1.1.2.3","NACA-RM-A55I19"
"1.1.2.3","NACA-RM-L55I14"
"1.1.2.3","NACA-RM-L55J13a"
"1.1.2.3","NACA-RM-L55J14"
"1.1.2.3","NACA-RM-A55L13"
"1.1.2.3","NACA-RM-E55L02a"
"1.1.2.3","NACA-RM-L55L12"
"1.1.2.3","NACA-RM-A56B15"
"1.1.2.3","NACA-RM-E56C16"
"1.1.2.3","NACA-RM-L56C16"
"1.1.2.3","NACA-RM-A56D05"
"1.1.2.3","NACA-RM-L56F07"
"1.1.2.3","NACA-RM-L56F13a"
"1.1.2.3","NACA-RM-IR6G18"
"1.1.2.3","NACA-TR-1301 NACA-TN-3609"
"1.1.2.3","NACA-TR-1306."
"1.1.2.3","NACA-TN-3666"
"1.1.2.3","NACA-TR-1310 NACA-RM-L51D17"
"1.1.2.3","NACA-TR-1312."
"1.1.2.3","NACA-TN-3653"
"1.1.2.3","NACA-TR-1313."
"1.1.2.3","NACA-TN-3546"
"1.1.2.3","NACA-TR-1315.Supersedeb"
"1.1.2.3","NACA-TN-3815"
"1.1.2.3","NACA-TR-1320."
"1.1.2.3","NACA-TN-3721"
"1.1.2.3","NACA-TR-1328 NACA-TN-3527"
"1.1.2.3","NACA-TR-1335."
"1.1.2.3","NACA-TN-3530"
"1.1.2.3","NACA-TR-1340."
"1.1.2.3","NACA-TN-3289"
"1.1.2.3","NACA-TN-4072"
"1.1.2.3","NACA-TN-4063"
"1.1.2.3","NACA-TN-4090"
"1.1.2.3","NACA-TN-4099"
"1.1.2.3","NACA-TN-4113"
"1.1.2.3","NACA-TN-4167"
"1.1.2.3","NACA-TN-4125"
"1.1.2.3","NACA-TN-4142"
"1.1.2.3","NACA-TN-4170"
