"ocrSubjNumR","ocrRepNo"
"1.1","NACA-TN-2465"
"1.1","NACA-TR-1147.For-"
"1.1","merly-TN-2443 NACA-TN-2631"
"1.1","NACA-TN-2694"
"1.1","NACA-TN-2969"
"1.1","NACA-TM-1359."
"1.1","NACA-TN-3071"
"1.1","NACA-TN-3097"
"1.1","NACA-TM-1362.Trans.fromAnnalenderPhyslk."
"1.1","NACA-TN-3072"
"1.1","NACA-TN-3210"
"1.1.1","NACA-RM-LSIIT"
"1.1.1","NACA-RM-L9D25b"
"1.1.1","NACA-RM-L50I29"
"1.1.1","NACA-RM-E51D12"
"1.1.1","NACA-TR-1115.For-"
"1.1.1","merly-TN-2593 NACA-TN-2595"
"1.1.1","NACA-TN-2954"
"1.1.1","NACA-TN-2999"
"1.1.1","NACA-TN-3013"
"1.1.1","NACA-TN-3031"
"1.1.1","NACA-TM-1360.Trans.fromZentrale"
"1.1.1","NACA-TM-1361.Trans.fromZentralefur"
"1.1.1","NACA-TN-3049"
"1.1.1","NACA-TN-3116"
"1.1.1","Dasebeneproblemdesschlagendenflugels"
"1.1.1","NACA-TN-3069"
"1.1.1","NACA-TN-3099"
"1.1.1","NACA-TN-3105"
"1.1.1","NACA-TN-3147"
"1.1.2","NACA-RM-L8B13"
"1.1.2","NACA-RM-E50A06"
"1.1.2","NACA-RM-E50E04"
"1.1.2","NACA-RM-LS1E11a"
"1.1.2","NACA-TR-1077 NACA-TN-2403;"
"1.1.2","NACA-TN-2387"
"1.1.2","NACA-RM-E52D01"
"1.1.2","NACA-TR-1119."
"1.1.2","NACA-TN-2700"
"1.1.2","NACA-TR-1128 NACA-TN-2590"
"1.1.2","NACA-RM-L53A07"
"1.1.2","NACA-TN-2961"
"1.1.2","NACA-TN-3005"
"1.1.2","NACA-TN-3028"
"1.1.2","NACA-TN-3058"
"1.1.2","NACA-TN-3157"
"1.1.2","NACA-TN-3101"
"1.1.2","NACA-TN-3105"
"1.1.2","NACA-TN-31771"
"1.1.2","hams..2I.II.S.(NACA-TN-301"
"1.1.2","NACA-TM-1362.Trans.fromAnnalenderPhyslk."
"1.1.2.1","NACA-RM-L7K12"
"1.1.2.1","NACA-TR-1115.For-"
"1.1.2.1","merly-TN-2593 NACA-TN-2595"
"1.1.2.1","NACA-RM-L53A07"
