"ocrSubjNumR","ocrRepNo"
"1","Sullateorladellesuperticiportantl"
"1","NACA-TM-1386"
"1","NACA-TM-1394"
"1.1","NACA-RM-E51A26"
"1.1","NACA-TR-1249"
"1.1","NACA-TN-2811"
"1.1","NACA-TN-3299"
"1.1","NACA-TM-1398"
"1.1","NACA-TN-3558"
"1.1.1","NACA-RM-L51C08"
"1.1.1","NACA-TR-1174"
"1.1.1","NACA-TN-2954"
"1.1.1","NACA-TR-1184"
"1.1.1","NACA-TN-2912"
"1.1.1","NACA-TR-1215"
"1.1.1","NACA-TN-2903"
"1.1.1","NACA-TN-2904"
"1.1.1","NACA-RM-E53D23"
"1.1.1","NACA-TN-3448"
"1.1.1","NACA-TN-3449"
"1.1.1","Sullateoriadellesuperficiportanti"
"1.1.1","NACA-TM-1386"
"1.1.1","NACA-TM-1398"
"1.1.1","NACA-TN-3670"
"1.1.1","NACA-TN-3690"
"1.1.1","NACA-TM-1400"
"1.1.2","NACA-RM-L51C08"
"1.1.2","NACA-RM-E52E21"
"1.1.2","NACA-RM-K52F26"
"1.1.2","NACA-TR-1209"
"1.1.2","NACA-TN-2839"
"1.1.2","NACA-RM-L53K12"
"1.1.2","NACA-TR-1253"
"1.1.2","RM-A51L17b"
"1.1.2","NACA-RM-A53G31"
"1.1.2","NACA-TN-3457"
"1.1.2","NACA-TN-3455"
"1.1.2","NACA-RM-E55F09"
"1.1.2","NACA-TN-3486"
"1.1.2","NACA-TN-3568"
"1.1.2","NACA-TN-3469"
"1.1.2","NACA-TN-3569"
"1.1.2","NACA-TN-3599"
"1.1.2","NACA-TN-3594"
"1.1.2","NACA-TM-1385"
"1.1.2","NACA-TN-3627"
"1.1.2","NACA-TN-3663"
"1.1.2","NACA-TM-1400"
"1.1.2.1","NACA-RM-E9H19"
"1.1.2.1","NACA-RM-L51L07a"
"1.1.2.1","NACA-RM-L52B12"
"1.1.2.1","NACA-RM-L53C31"
"1.1.2.1","NACA-RM-L53D23"
"1.1.2.1","NACA-TR-1191"
"1.1.2.1","NACA-TN-2913"
"1.1.2.1","NACA-TR-1193"
"1.1.2.1","NACA-TN-3004"
"1.1.2.1","NACA-TR-1201"
"1.1.2.1","NACARM-L9H10"
"1.1.2.1","NACA-RM-L9K10"
"1.1.2.1","NACA-RM-L50C02a"
"1.1.2.1","NACA-RM-L53K18"
"1.1.2.1","NACA-RM-L53K30"
"1.1.2.1","NACA-RM-L54A29a"
"1.1.2.1","NACA-TN-2903"
"1.1.2.1","NACA-TN-2904"
"1.1.2.1","NACA-RM-E53D23"
"1.1.2.1","NACA-TN-3507"
"1.1.2.1","NACA-TN-3487"
"1.1.2.1","NACA-TN-3488"
"1.1.2.1","NACA-TN-3489"
"1.1.2.1","NACA-TN-3519"
"1.1.2.1","NACA-TN-3535"
"1.1.2.1","NACA-TN-3561"
"1.1.2.1","NACA-TN-3559"
"1.1.2.1","NACA-TR-1239"
"1.1.2.1","NACA-RM-L9C25"
"1.1.2.1","NACA-RM-L52A17"
"1.1.2.1","NACA-TN-3663"
"1.1.2.1","NACA-TN-3686"
"1.1.2.1","NACA-TN-3696"
"1.1.2.2","NACA-RM-L8A28c"
"1.1.2.2","NACA-RM-L51C08"
"1.1.2.2","NACA-RM-L51L07a"
"1.1.2.2","NACARML52B12"
"1.1.2.2","NACA-RM-L52K06"
"1.1.2.2","NACA-RM-L53C31"
"1.1.2.2","NACA-RM-L53L08a"
"1.1.2.2","NACA-RM-L54A29a"
"1.1.2.2","NACA-RM-L54B22"
"1.1.2.2","NACA-TR-1217"
"1.1.2.2","NACA-TN-3096"
"1.1.2.2","NACA-TN-3522"
"1.1.2.2","NACA-TN-3535"
"1.1.2.2","NACA-TR-1239"
"1.1.2.2","NACA-RM-L9C25"
"1.1.2.2","NACA-RM-L52A17"
"1.1.2.2","NACA-TN-3607"
"1.1.2.2","NACA-TN-3626"
"1.1.2.2","NACA-TN-3673"
"1.1.2.2","NACARM-A54F28"
"1.1.2.2","NACA-TN-3703"
"1.1.2.3","NACA-RM-A7J27"
"1.1.2.3","NACA-RM-A8C11"
"1.1.2.3","NACA-RM-L9K09"
"1.1.2.3","NACA-RM-E50D28"
"1.1.2.3","NACA-RM-E50I19"
"1.1.2.3","NACA-RM-L51A11"
"1.1.2.3","NACA-RM-L51D17"
"1.1.2.3","NACA-RM-E51I25"
"1.1.2.3","NACA-RM-L51L07a"
