"ocrSubjNumR","ocrRepNo"
"1.1","NACA-TR-1143"
"1.1","NACA-TN-2641"
"1.1.1","NACA-TR-1121"
"1.1.1","NACA-TN-2567"
"1.1.1","NACA-TR-1142"
"1.1.1","NACA-TN-2710"
"1.1.1","NACA-TR-1161"
"1.1.1","NACA-TN-2854"
"1.1.1","NACA-TR-1179"
"1.1.1","NACA-TN-3013"
"1.1.1","NACA-RM-54D19"
"1.1.1","NACA-TN-3168"
"1.1.1","NACA-TN-3169"
"1.1.1","NACA-TN-3208"
"1.1.1","NACA-TN-3227"
"1.1.1","NACA-TN-3343"
"1.1.1","NACA-TN-3149"
"1.1.1","NACA-TN-3311"
"1.1.1","NACA-TN-3383"
"1.1.1","NACA-TN-3447"
"1.1.2","NACA-RM-L8K01"
"1.1.2","NACA-RM-L9H29a"
"1.1.2","NACA-RM-L50A03a"
"1.1.2","NACA-RM-L9J13a"
"1.1.2","NACA-RM-L51H30"
"1.1.2","NACA-RM-L51K28a"
"1.1.2","NACA-RM-L52A18"
"1.1.2","NACA-RM-L52H04"
"1.1.2","NACA-TR-1121"
"1.1.2","NACA-TN-2567"
"1.1.2","NACA-TR-1135"
"1.1.2","NACA-TN-1428"
"1.1.2","NACA-TR-1153"
"1.1.2","NACA-TN-2726"
"1.1.2","NACA-TR-1155"
"1.1.2","NACA-TN-2519"
"1.1.2","NACA-RM-L9F28"
"1.1.2","NACA-RM-L53G28"
"1.1.2","NACA-TR-1165"
"1.1.2","NACA-TN-2879"
"1.1.2","NACA-TN-3226"
"1.1.2","NACA-TN-3229"
"1.1.2","NACA-TN-3227"
"1.1.2","NACA-TN-3343"
"1.1.2","NACA-TN-3318"
"1.1.2","NACA-TN-3386"
"1.1.2","NACA-TN-3325"
"1.1.2","NACA-TN-3399"
"1.1.2","NACA-TN-3404"
"1.1.2","NACA-TN-3326"
"1.1.2","NACA-TN-3406"
"1.1.2","NACA-TN-3447"
"1.1.2","NACA-TN-3296"
"1.1.2.1","NACA-RM-L9C25"
"1.1.2.1","NACA-RM-L9J27"
"1.1.2.1","NACA-RM-L51G09"
"1.1.2.1","NACA-TR-1121"
"1.1.2.1","NACA-TN-2567"
"1.1.2.1","NACA-TR-1135"
"1.1.2.1","NACA-TN-1428"
"1.1.2.1","NACA-TR-1149"
"1.1.2.1","NACA-TN-2748"
"1.1.2.1","NACA-TR-1155"
"1.1.2.1","NACA-TN-2519"
"1.1.2.1","NACA-RM-L9F28"
"1.1.2.1","NACA-TR-1168"
"1.1.2.1","NACA-TN-2871"
"1.1.2.1","NACA-TN-2909"
"1.1.2.1","NACA-TN-2989"
"1.1.2.1","NACA-TN-3150"
"1.1.2.1","NACA-TN-3260"
"1.1.2.1","NACA-TN-3327"
"1.1.2.1","NACA-TN-3149"
"1.1.2.1","NACA-TN-3264"
"1.1.2.1","NACA-TN-3390"
"1.1.2.1","NACA-TN-3424"
"1.1.2.2","NACA-RM-L6L24"
"1.1.2.2","NACA-RM-L8A05"
"1.1.2.2","NACA-RM-L8F24"
"1.1.2.2","NACA-RM-L8K01"
"1.1.2.2","NACA-RM-L8L07"
"1.1.2.2","NACA-RM-L9C11"
"1.1.2.2","NACA-RM-L9C25"
"1.1.2.2","NACA-RM-L9J27"
"1.1.2.2","NACA-RM-L50A03a"
"1.1.2.2","NACA-RM-L9L16"
"1.1.2.2","NACA-RM-E50D05"
"1.1.2.2","NACA-RM-L50J02"
"1.1.2.2","NACA-RM-L50K20"
"1.1.2.2","NACA-RM-L51D24"
"1.1.2.2","NACA-RM-L51E09"
"1.1.2.2","NACA-RM-L51I12"
"1.1.2.2","NACA-RM-A51L17b"
"1.1.2.2","NACA-RM-L52G22"
"1.1.2.2","NACA-RM-L52G31a"
"1.1.2.2","NACA-RM-L52I19a"
"1.1.2.2","NACA-TR-1149"
"1.1.2.2","NACA-TN-2748"
"1.1.2.2","NACA-TR-1155"
"1.1.2.2","NACA-TN-2519"
"1.1.2.2","NACA-RM-L9F28"
"1.1.2.2","NACA-RM-A53G31"
"1.1.2.2","NACA-RM-L53G23"
"1.1.2.2","NACA-TN-3225"
